,date,y_fut,predicted,total
2020-08-22,2020-08-22,,149285.60934817413,149408.0
2020-08-23,2020-08-23,,151825.84942736657,151498.0
2020-08-24,2020-08-24,,154413.30766666675,153535.0
2020-08-25,2020-08-25,,157048.4801503736,155412.0
2020-08-26,2020-08-26,,159731.80119215877,157859.0
2020-08-27,2020-08-27,,162463.64120294893,160165.0
2020-08-28,2020-08-28,,165244.30466763576,162884.0
2020-08-29,2020-08-29,,168074.02823607618,165887.0
2020-08-30,2020-08-30,,170952.9789337571,169195.0
2020-08-31,2020-08-31,,173881.25249756215,172053.0
2020-09-01,2020-09-01,,176858.87184204248,174796.0
2020-09-02,2020-09-02,,179885.78566159954,177571.0
2020-09-03,2020-09-03,,182961.8671739883,180646.0
2020-09-04,2020-09-04,,186086.9130105711,184268.0
2020-09-05,2020-09-05,,189260.6422587055,187537.0
2020-09-06,2020-09-06,,192482.69566170493,190665.0
2020-09-07,2020-09-07,,195752.63498177187,194109.0
2020-09-08,2020-09-08,,199069.94253129134,196989.0
2020-09-09,2020-09-09,,202434.02087795356,200035.0
2020-09-10,2020-09-10,,205844.19272905582,203342.0
2020-09-11,2020-09-11,,209299.70100043708,207203.0
2020-09-12,2020-09-12,,212799.70907542476,210940.0
2020-09-13,2020-09-13,,216343.3012592438,214757.0
2020-09-14,2020-09-14,,219929.48343425425,218382.0
2020-09-15,2020-09-15,,223557.18392147304,221523.0
2020-09-16,2020-09-16,,227225.2545537501,225030.0
2020-09-17,2020-09-17,,230932.4719660505,228993.0
2020-09-18,2020-09-18,,234677.5391082074,232628.0
2020-09-19,2020-09-19,,238459.08698561037,236519.0
2020-09-20,2020-09-20,,242275.67663320707,240687.0
2020-09-21,2020-09-21,,246125.8013282008,244676.0
2020-09-22,2020-09-22,,250007.88904696697,248852.0
2020-09-23,2020-09-23,,253920.30517143005,252923.0
2020-09-24,2020-09-24,,257861.35545048112,257388.0
2020-09-25,2020-09-25,,261829.2892217412,262022.0
2020-09-26,2020-09-26,,265822.3028990998,266845.0
2020-09-27,2020-09-27,,269838.5437314994,271339.0
2020-09-28,2020-09-28,,273876.1138382516,275213.0
2020-09-29,2020-09-29,,277933.07452646265,278722.0
2020-09-30,2020-09-30,,282007.4508958533,282724.0
2020-10-01,2020-10-01,,286097.2367363795,287008.0
2020-10-02,2020-10-02,,290200.3997242152,291182.0
2020-10-03,2020-10-03,,294314.886921294,295499.0
2020-10-04,2020-10-04,,298438.6305840201,299506.0
2020-10-05,2020-10-05,,302569.5542863607,303498.0
2020-10-06,2020-10-06,,306705.57936297724,307120.0
2020-10-07,2020-10-07,,310844.6316775642,311176.0
2020-10-08,2020-10-08,,314984.64872194076,315714.0
2020-10-09,2020-10-09,,319123.58705132076,320564.0
2020-10-10,2020-10-10,,323259.4300610385,324658.0
2020-10-11,2020-10-11,,327390.19611034537,328952.0
2020-10-12,2020-10-12,,331513.94699849555,333449.0
2020-10-13,2020-10-13,,335628.7967986315,336716.0
2020-10-14,2020-10-14,,339732.92105488473,340622.0
2020-10-15,2020-10-15,,343824.5663480572,344749.0
2020-10-16,2020-10-16,,347902.06023533264,349160.0
2020-10-17,2020-10-17,,351963.82156939426,353461.0
2020-10-18,2020-10-18,,356008.3712024204,357762.0
2020-10-19,2020-10-19,,360034.3430802859,361867.0
2020-10-20,2020-10-20,,364040.49573246756,365240.0
2020-10-21,2020-10-21,,368025.72416297713,368842.0
2020-10-22,2020-10-22,,371989.0721477754,373109.0
2020-10-23,2020-10-23,,375929.74494418124,377541.0
2020-10-24,2020-10-24,,379847.12241746107,381910.0
2020-10-25,2020-10-25,,383740.7725901715,385980.0
2020-10-26,2020-10-26,,387610.46561971674,389712.0
2020-10-27,2020-10-27,,391456.18820931384,392934.0
2020-10-28,2020-10-28,,395278.1584579758,396454.0
2020-10-29,2020-10-29,,399076.84115493664,400483.0
2020-10-30,2020-10-30,,402852.9635237045,404048.0
2020-10-31,2020-10-31,,406607.5314213223,406945.0
2020-11-01,2020-11-01,,410341.8459984026,410088.0
2020-11-02,2020-11-02,,414057.52082495013,412784.0
2020-11-03,2020-11-03,,417756.4994877241,415402.0
2020-11-04,2020-11-04,,421441.073664423,418375.0
2020-11-05,2020-11-05,,425113.9016800485,421731.0
2020-11-06,2020-11-06,,428778.02755099157,425796.0
2020-11-07,2020-11-07,,432436.9005222357,429574.0
2020-11-08,2020-11-08,,436094.3951028473,433836.0
2020-11-09,2020-11-09,,439754.8316055722,437716.0
2020-11-10,2020-11-10,,443422.9971955306,440569.0
2020-11-11,2020-11-11,,447104.16745390365,444348.0
2020-11-12,2020-11-12,,450804.1284613646,448118.0
2020-11-13,2020-11-13,,454529.19940737257,452291.0
2020-11-14,2020-11-14,,458286.2557302899,457735.0
2020-11-15,2020-11-15,,462082.7527937628,463007.0
2020-11-16,2020-11-16,,465926.75010508666,467113.0
2020-11-17,2020-11-17,,469826.93608048925,470648.0
2020-11-18,2020-11-18,,473792.6533632315,474455.0
2020-11-19,2020-11-19,,477833.9246996976,478720.0
2020-11-20,2020-11-20,,481961.4793786145,483518.0
2020-11-21,2020-11-21,,486186.7802394516,488310.0
2020-11-22,2020-11-22,,490522.0512549765,493308.0
2020-11-23,2020-11-23,490522.0,,
2020-11-24,2020-11-24,494980.0,,
2020-11-25,2020-11-25,499575.0,,
2020-11-26,2020-11-26,504321.0,,
2020-11-27,2020-11-27,509235.0,,
2020-11-28,2020-11-28,514332.0,,
2020-11-29,2020-11-29,519630.0,,
2020-11-30,2020-11-30,525148.0,,
2020-12-01,2020-12-01,530904.0,,
2020-12-02,2020-12-02,536919.0,,
2020-12-03,2020-12-03,543214.0,,
2020-12-04,2020-12-04,549813.0,,
2020-12-05,2020-12-05,556739.0,,
2020-12-06,2020-12-06,564016.0,,
2020-12-07,2020-12-07,571671.0,,
2020-12-08,2020-12-08,579732.0,,
2020-12-09,2020-12-09,588226.0,,
2020-12-10,2020-12-10,597185.0,,
2020-12-11,2020-12-11,606638.0,,
2020-12-12,2020-12-12,616620.0,,
2020-12-13,2020-12-13,627163.0,,
2020-12-14,2020-12-14,638304.0,,
2020-12-15,2020-12-15,650080.0,,
2020-12-16,2020-12-16,662530.0,,
2020-12-17,2020-12-17,675694.0,,
2020-12-18,2020-12-18,689614.0,,
2020-12-19,2020-12-19,704333.0,,
2020-12-20,2020-12-20,719898.0,,
2020-12-21,2020-12-21,736355.0,,
2020-12-22,2020-12-22,753754.0,,
